date,time,topic,week,instructor
21/09/2026,14:00-15:45,Cancelled (instructor unavailable),1,
23/09/2026,09:30-11:15,Cancelled (instructor unavailable),1,
25/09/2026,11:30-13:15,Cancelled (instructor unavailable),1,
28/09/2026,14:00-15:45,,2,
30/09/2026,09:30-11:15,,2,
02/10/2026,11:30-13:15,,2,
05/10/2026,14:00-15:45,,3,
07/10/2026,09:30-11:15,,3,
09/10/2026,11:30-13:15,,3,
12/10/2026,14:00-15:45,,4,
14/10/2026,09:30-11:15,,4,
16/10/2026,11:30-13:15,,4,
19/10/2026,14:00-15:45,,5,
21/10/2026,09:30-11:15,,5,
23/10/2026,11:30-13:15,,5,
26/10/2026,14:00-15:45,,6,
28/10/2026,09:30-11:15,,6,
30/10/2026,11:30-13:15,,6,
02/11/2026,14:00-15:45,,7,
04/11/2026,09:30-11:15,,7,
06/11/2026,11:30-13:15,,7,
09/11/2026,14:00-15:45,,8,
11/11/2026,09:30-11:15,,8,
13/11/2026,11:30-13:15,,8,
16/11/2026,14:00-15:45,,9,
18/11/2026,09:30-11:15,,9,
20/11/2026,11:30-13:15,,9,
23/11/2026,14:00-15:45,,10,
25/11/2026,09:30-11:15,,10,
27/11/2026,11:30-13:15,,10,
30/11/2026,14:00-15:45,,11,
02/12/2026,09:30-11:15,,11,
04/12/2026,11:30-13:15,,11,
07/12/2026,14:00-15:45,,12,
09/12/2026,09:30-11:15,,12,
11/12/2026,11:30-13:15,,12,
14/12/2026,14:00-15:45,,13,
16/12/2026,09:30-11:15,,13,
18/12/2026,11:30-13:15,,13,
21/12/2026,14:00-15:45,,14,
23/12/2026,09:30-11:15,Christmas holiday,14,
25/12/2026,11:30-13:15,Christmas holiday,14,
28/12/2026,14:00-15:45,Christmas holiday,15,
30/12/2026,09:30-11:15,Christmas holiday,15,
01/01/2027,11:30-13:15,Christmas holiday,15,
04/01/2027,14:00-15:45,Christmas holiday,16,
06/01/2027,09:30-11:15,Epiphany,16,
08/01/2027,11:30-13:15,,16,
11/01/2027,14:00-15:45,,17,
13/01/2027,09:30-11:15,,17,
15/01/2027,11:30-13:15,,17,
